index,x,y,w,h,area
0,1,1,96,96,9216
1,98,1,96,96,9216
2,195,1,96,96,9216
3,292,1,96,96,9216
4,389,1,96,96,9216
5,486,1,96,96,9216
6,583,1,96,96,9216
7,680,1,96,96,9216
8,777,1,96,96,9216
9,874,1,96,96,9216
10,971,1,96,96,9216
11,1068,1,96,96,9216
12,1165,1,96,96,9216
13,1262,1,96,96,9216
14,1359,1,96,96,9216
15,1456,1,96,96,9216
16,1553,1,96,96,9216
17,1650,1,96,96,9216
18,1747,1,96,96,9216
19,680,98,64,128,8192
20,745,98,64,128,8192
21,972,98,96,128,12288
22,1198,98,128,128,16384
23,1327,98,64,128,8192
24,1392,98,128,128,16384
25,1,130,96,96,9216
26,98,130,96,96,9216
27,195,130,96,96,9216
28,292,130,96,96,9216
29,389,130,96,96,9216
30,486,130,96,96,9216
31,583,130,96,96,9216
32,810,130,64,96,6144
33,875,130,96,96,9216
34,1069,130,128,96,12288
35,1521,130,128,96,12288
36,1650,130,128,96,12288
37,1779,130,96,96,9216
38,98,227,160,128,20480
39,259,227,128,128,16384
40,388,227,128,128,16384
41,646,227,128,128,16384
42,775,227,160,128,20480
43,936,227,128,128,16384
44,1065,227,128,128,16384
45,1194,227,96,128,12288
46,1388,227,128,128,16384
47,1517,227,96,128,12288
48,1,259,96,96,9216
49,517,259,128,96,12288
50,1291,259,96,96,9216
51,1614,259,96,96,9216
52,1711,259,64,96,6144
53,1776,259,96,96,9216
54,1,356,96,128,12288
55,98,356,96,128,12288
56,195,356,96,128,12288
57,292,356,96,128,12288
58,389,356,96,128,12288
59,486,356,96,128,12288
60,583,356,96,128,12288
61,680,356,96,128,12288
62,777,356,96,128,12288
63,874,356,96,128,12288
64,971,356,96,128,12288
65,1068,356,96,128,12288
66,1165,356,96,128,12288
67,1262,356,96,128,12288
68,1359,356,96,128,12288
69,1553,356,96,128,12288
70,1650,356,96,128,12288
71,1747,356,96,128,12288
72,1456,388,96,96,9216
73,98,485,96,128,12288
74,195,485,96,128,12288
75,680,485,96,128,12288
76,777,485,96,128,12288
77,874,485,96,128,12288
78,971,485,96,128,12288
79,1068,485,96,128,12288
80,1,517,96,96,9216
81,292,517,96,96,9216
82,389,517,96,96,9216
83,486,517,96,96,9216
84,583,517,96,96,9216
85,1295,549,64,64,4096
86,1360,549,64,64,4096
87,1425,549,64,64,4096
88,1490,549,64,64,4096
89,1685,549,64,64,4096
90,1750,549,64,64,4096
91,1165,581,64,32,2048
92,1230,581,64,32,2048
93,1555,581,64,32,2048
94,1620,581,64,32,2048
95,742,614,96,128,12288
96,839,614,128,128,16384
97,1,646,128,96,12288
98,130,646,128,96,12288
99,259,646,160,96,15360
100,420,646,160,96,15360
101,581,646,160,96,15360
102,968,646,160,96,15360
103,1129,646,160,96,15360
104,1290,646,160,96,15360
105,1451,646,128,96,12288
106,1580,646,128,96,12288
107,1709,646,128,96,12288
108,1001,743,96,128,12288
109,1098,743,96,128,12288
110,1195,743,96,128,12288
111,1292,743,96,128,12288
112,1389,743,96,128,12288
113,1486,743,64,128,8192
114,1648,743,96,128,12288
115,1745,743,128,128,16384
116,1,775,128,96,12288
117,130,775,128,96,12288
118,259,775,160,96,15360
119,420,775,128,96,12288
120,549,775,128,96,12288
121,678,775,96,96,9216
122,775,775,96,96,9216
123,872,775,128,96,12288
124,1551,775,96,96,9216
125,1,872,96,128,12288
126,98,872,96,128,12288
127,195,872,96,128,12288
128,292,872,64,128,8192
129,357,904,128,96,12288
130,486,904,128,96,12288
131,615,904,160,96,15360
132,776,904,128,96,12288
133,905,904,128,96,12288
134,1034,904,160,96,15360
135,1195,904,128,96,12288
136,1324,904,128,96,12288
137,1453,904,160,96,15360
138,1614,904,96,96,9216
139,1711,904,96,96,9216
140,1454,1001,96,128,12288
141,1,1033,128,96,12288
142,130,1033,96,96,9216
143,227,1033,96,96,9216
144,324,1033,160,96,15360
145,485,1033,96,96,9216
146,582,1033,96,96,9216
147,679,1033,128,96,12288
148,808,1033,160,96,15360
149,969,1033,96,96,9216
150,1066,1033,96,96,9216
151,1163,1033,96,96,9216
152,1260,1033,96,96,9216
153,1357,1033,96,96,9216
154,1551,1033,96,96,9216
155,1648,1033,96,96,9216
156,1745,1033,128,96,12288
157,324,1130,96,128,12288
158,679,1130,128,128,16384
159,937,1130,128,128,16384
160,1808,1130,64,128,8192
161,1,1162,96,96,9216
162,98,1162,96,96,9216
163,195,1162,128,96,12288
164,421,1162,128,96,12288
165,550,1162,128,96,12288
166,1066,1162,96,96,9216
167,1163,1162,128,96,12288
168,1292,1162,128,96,12288
169,1421,1162,96,96,9216
170,1518,1162,160,96,15360
171,1679,1162,128,96,12288
172,808,1194,128,64,8192
173,1,1259,96,128,12288
174,98,1259,96,128,12288
175,195,1259,96,128,12288
176,292,1259,96,128,12288
177,389,1259,64,128,8192
178,454,1259,96,128,12288
179,551,1259,96,128,12288
180,648,1259,96,128,12288
181,745,1259,96,128,12288
182,1326,1259,128,128,16384
183,842,1291,96,96,9216
184,939,1291,128,96,12288
185,1068,1291,128,96,12288
186,1455,1291,96,96,9216
187,1552,1291,128,96,12288
188,1681,1291,96,96,9216
189,1197,1323,128,64,8192
190,1066,1388,128,160,20480
191,1195,1388,128,160,20480
192,323,1420,96,128,12288
193,420,1420,96,128,12288
194,517,1420,96,128,12288
195,614,1420,128,128,16384
196,743,1420,128,128,16384
197,872,1420,96,128,12288
198,1324,1420,128,128,16384
199,1453,1420,96,128,12288
200,1,1452,160,96,15360
201,162,1452,160,96,15360
202,969,1452,96,96,9216
203,1550,1452,128,96,12288
204,1679,1452,128,96,12288
205,130,1549,64,128,8192
206,195,1549,64,128,8192
207,260,1549,96,128,12288
208,486,1549,128,128,16384
209,615,1549,96,128,12288
210,712,1549,128,128,16384
211,1421,1549,96,128,12288
212,1518,1549,96,128,12288
213,1615,1549,96,128,12288
214,1,1581,128,96,12288
215,357,1581,128,96,12288
216,841,1581,160,96,15360
217,1002,1581,160,96,15360
218,1163,1581,160,96,15360
219,1324,1581,96,96,9216
220,1712,1581,96,96,9216
221,420,1678,96,128,12288
222,517,1678,64,128,8192
223,582,1678,128,128,16384
224,840,1678,96,128,12288
225,1002,1678,96,128,12288
226,1099,1678,64,128,8192
227,1164,1678,64,128,8192
228,1,1710,160,96,15360
229,162,1710,128,96,12288
230,291,1710,128,96,12288
231,1229,1710,64,96,6144
232,1294,1710,128,96,12288
233,1423,1710,128,96,12288
234,1552,1710,128,96,12288
235,1681,1710,96,96,9216
236,1778,1710,128,96,12288
237,711,1742,128,64,8192
238,937,1742,64,64,4096
239,420,1807,96,128,12288
240,517,1807,64,128,8192
241,582,1807,128,128,16384
242,711,1807,128,128,16384
243,840,1807,128,128,16384
244,969,1807,96,128,12288
245,1,1839,128,96,12288
246,130,1839,160,96,15360
247,291,1839,128,96,12288
248,1066,1839,96,96,9216
249,1163,1839,96,96,9216
250,1260,1839,128,96,12288
251,1389,1839,128,96,12288
252,1518,1839,128,96,12288
253,1647,1839,128,96,12288
254,1776,1839,128,96,12288
255,1,1936,128,96,12288
256,130,1936,96,96,9216
257,227,1936,96,96,9216
258,324,1936,96,96,9216
259,421,1936,96,96,9216
260,518,1936,96,96,9216
261,615,1936,96,96,9216
262,712,1936,64,96,6144
263,777,1936,96,96,9216
264,874,1936,96,96,9216
265,971,1936,128,96,12288
266,1100,1936,128,96,12288
267,1229,1936,128,96,12288
268,1358,1936,96,96,9216
269,1455,1936,128,96,12288
270,1584,1936,128,96,12288
271,1713,1936,128,96,12288
272,227,2033,128,128,16384
273,678,2065,96,96,9216
274,904,2065,128,96,12288
275,1355,2065,160,96,15360
276,1516,2065,128,96,12288
277,1,2097,96,64,6144
278,98,2097,128,64,8192
279,356,2097,160,64,10240
280,517,2097,160,64,10240
281,775,2097,128,64,8192
282,1033,2097,160,64,10240
283,1194,2097,160,64,10240
284,1645,2097,64,64,4096
285,1710,2097,64,64,4096
286,1775,2097,64,64,4096
287,1840,2097,64,64,4096
288,1742,2162,64,128,8192
289,1,2194,96,96,9216
290,98,2194,96,96,9216
291,195,2194,96,96,9216
292,292,2194,96,96,9216
293,389,2194,160,96,15360
294,711,2194,128,96,12288
295,840,2194,160,96,15360
296,1162,2194,128,96,12288
297,1291,2194,160,96,15360
298,1613,2194,128,96,12288
299,550,2226,160,64,10240
300,1001,2226,160,64,10240
301,1452,2226,160,64,10240
302,1,2291,128,128,16384
303,388,2291,96,128,12288
304,485,2291,64,128,8192
305,1162,2291,96,128,12288
306,1259,2291,96,128,12288
307,1356,2291,64,128,8192
308,1711,2291,96,128,12288
309,1808,2291,96,128,12288
310,130,2323,160,96,15360
311,291,2323,96,96,9216
312,550,2323,128,96,12288
313,679,2323,160,96,15360
314,1421,2323,128,96,12288
315,840,2355,160,64,10240
316,1001,2355,160,64,10240
317,1550,2355,160,64,10240
318,1,2420,128,128,16384
319,130,2420,128,128,16384
320,581,2452,64,96,6144
321,711,2452,96,96,9216
322,1294,2452,64,96,6144
323,1359,2452,64,96,6144
324,1424,2452,64,96,6144
325,1684,2452,64,96,6144
326,259,2484,160,64,10240
327,420,2484,160,64,10240
328,646,2484,64,64,4096
329,808,2484,96,64,6144
330,905,2484,96,64,6144
331,1002,2484,64,64,4096
332,1067,2484,64,64,4096
333,1132,2484,64,64,4096
334,1197,2484,96,64,6144
335,1489,2484,64,64,4096
336,1554,2484,64,64,4096
337,1619,2484,64,64,4096
338,1749,2484,32,64,2048
339,1782,2484,64,64,4096
340,1,2549,96,96,9216
341,813,2581,64,64,4096
342,878,2581,64,64,4096
343,943,2581,64,64,4096
344,1008,2581,64,64,4096
345,1073,2581,64,64,4096
346,1138,2581,64,64,4096
347,1203,2581,64,64,4096
348,1268,2581,64,64,4096
349,1333,2581,64,64,4096
350,1398,2581,64,64,4096
351,1463,2581,96,64,6144
352,1560,2581,64,64,4096
353,1625,2581,64,64,4096
354,1690,2581,64,64,4096
355,1755,2581,64,64,4096
356,98,2613,64,32,2048
357,163,2613,64,32,2048
358,228,2613,64,32,2048
359,293,2613,64,32,2048
360,358,2613,64,32,2048
361,423,2613,64,32,2048
362,488,2613,64,32,2048
363,553,2613,64,32,2048
364,618,2613,64,32,2048
365,683,2613,64,32,2048
366,748,2613,64,32,2048
367,1820,2613,64,32,2048
368,1042,2646,96,128,12288
369,1139,2646,96,128,12288
370,1527,2646,96,128,12288
371,1624,2646,96,128,12288
372,1721,2646,96,128,12288
373,1818,2646,96,128,12288
374,1236,2678,96,96,9216
375,1333,2678,96,96,9216
376,1430,2678,96,96,9216
377,1,2710,64,64,4096
378,66,2710,64,64,4096
379,131,2710,64,64,4096
380,196,2710,64,64,4096
381,261,2710,64,64,4096
382,392,2710,96,64,6144
383,554,2710,32,64,2048
384,685,2710,96,64,6144
385,782,2710,64,64,4096
386,847,2710,64,64,4096
387,912,2710,64,64,4096
388,977,2710,64,64,4096
389,326,2742,32,32,1024
390,359,2742,32,32,1024
391,489,2742,64,32,2048
392,587,2742,32,32,1024
393,620,2742,64,32,2048
394,292,2775,96,128,12288
395,389,2775,96,128,12288
396,486,2775,96,128,12288
397,583,2775,96,128,12288
398,1101,2775,32,128,4096
399,195,2807,96,96,9216
400,680,2807,96,96,9216
401,777,2807,96,96,9216
402,874,2807,96,96,9216
403,1,2839,96,64,6144
404,98,2839,96,64,6144
405,971,2839,64,64,4096
406,1036,2839,64,64,4096
