index,x,y,w,h,area
0,598,28,181,56,4851
1,206,29,181,56,4851
2,10,30,181,56,4851
3,401,31,181,54,4825
4,796,33,179,50,4771
5,216,117,114,97,3069
6,126,121,78,90,3294
7,345,130,95,85,3201
8,455,130,69,86,2916
9,13,150,101,61,2616
10,17,266,80,116,4508
11,107,267,80,115,4580
12,582,267,80,115,4521
13,200,269,80,113,4511
14,485,269,80,113,4416
15,295,271,80,111,4436
16,391,271,80,111,4363
17,115,422,85,118,4753
18,17,425,83,115,4597
19,214,425,85,114,4705
20,331,467,73,74,3176
21,413,468,74,71,3026
22,496,470,71,72,2968
23,17,564,77,101,4132
24,105,584,70,81,3438
25,195,694,90,116,4289
26,106,698,75,112,4111
27,300,699,105,111,4388
28,17,701,75,109,3620
29,419,707,75,104,3922
30,308,825,93,116,4071
31,417,829,79,112,3925
32,17,832,72,109,3426
33,188,834,106,106,3944
34,103,837,72,104,3707
35,435,988,77,155,4475
36,17,1001,77,140,4408
37,354,1010,66,132,3479
38,111,1034,66,107,3424
39,272,1042,66,99,2962
40,192,1055,66,86,2947
41,689,1168,81,144,4466
42,270,1198,90,113,4351
43,541,1205,127,107,4475
44,17,1206,96,106,4083
45,127,1213,128,98,4492
46,376,1214,147,97,4479
47,106,1334,62,113,3425
48,16,1336,73,110,3861
49,387,1349,70,100,3319
50,476,1360,74,88,3266
51,196,1375,74,73,3167
52,286,1375,76,73,3055
53,889,1501,102,136,4585
54,17,1522,82,111,3725
55,259,1522,103,109,4181
56,379,1522,92,110,4473
57,118,1523,122,109,4387
58,488,1524,128,110,4714
59,752,1529,115,106,4623
60,637,1531,97,103,4025
61,521,1703,113,131,4739
62,654,1703,113,131,4715
63,18,1720,98,114,4326
64,131,1725,98,108,4612
65,247,1728,112,105,4091
66,376,1729,128,104,4732
67,789,1732,97,103,4290
68,122,1881,85,109,4022
69,353,1881,82,110,3739
70,224,1882,112,109,4391
71,454,1883,136,109,4488
72,12,1884,94,106,4028
73,610,1884,136,109,4466
74,13,2033,96,111,3850
75,125,2035,80,109,3256
76,221,2037,120,108,3912
77,374,2038,87,109,4235
78,592,2039,134,110,3852
79,483,2040,87,109,3676
80,13,2169,91,108,3845
81,127,2173,93,105,3694
82,247,2175,93,105,3502
83,359,2185,162,95,4497
84,1079,2304,99,130,4459
85,699,2317,126,117,4072
86,514,2318,166,116,5015
87,328,2319,166,116,4976
88,111,2322,99,109,4127
89,230,2322,79,111,3988
90,843,2325,87,109,3983
91,948,2326,118,108,4025
92,8,2333,87,98,4236
93,894,2484,92,127,4691
94,786,2488,91,122,4351
95,682,2494,85,115,4324
96,245,2505,85,100,4138
97,1002,2512,126,100,4520
98,1148,2520,84,95,3914
99,10,2527,87,77,3377
100,109,2528,119,76,3901
101,344,2528,96,78,4112
102,581,2531,82,77,3393
103,454,2532,113,75,4161
104,213,2657,81,107,3913
105,435,2678,157,89,4499
106,10,2685,80,79,3122
107,102,2685,97,79,3867
108,323,2693,92,72,3797
109,259,2820,162,95,4570
110,122,2825,119,89,3831
111,435,2825,139,91,3771
112,888,2835,139,83,4194
113,588,2840,135,76,3250
114,10,2841,92,72,3555
115,1044,2850,84,69,3343
116,739,2863,134,55,3369
117,611,2958,109,124,4620
118,493,2972,101,110,4485
119,388,2980,92,100,3634
120,122,2992,128,86,4169
121,11,2996,99,82,3539
122,738,2997,131,85,4067
123,261,2999,113,80,4095
124,447,3147,101,111,3907
125,676,3148,101,110,4003
126,99,3150,120,107,3834
127,1014,3156,147,105,4382
128,338,3161,93,96,3567
129,9,3162,74,95,3416
130,232,3164,88,93,3541
131,905,3166,90,93,3674
132,796,3167,88,91,3627
133,565,3168,94,90,4174
134,232,3297,100,116,3903
135,350,3305,140,109,4572
136,116,3307,99,106,3610
137,12,3318,91,94,3539
138,242,3462,138,117,5021
139,13,3468,94,110,4494
140,119,3468,108,110,4515
141,397,3471,97,108,4172
142,510,3479,93,101,3967
143,322,3630,114,117,4202
144,619,3632,114,115,4143
145,219,3633,83,113,3934
146,11,3636,96,110,4301
147,124,3640,77,106,3978
148,754,3642,120,105,4092
149,459,3650,140,96,4230
150,10,3796,102,106,3768
151,791,3806,114,97,3069
152,701,3810,78,90,3294
153,365,3818,91,84,3275
154,920,3819,95,85,3201
155,1030,3819,69,86,2916
156,477,3820,100,80,3582
157,588,3839,101,61,2616
158,129,3843,88,59,2943
159,232,3844,117,58,3330
160,917,3956,28,37,511
161,980,3957,136,116,5858
162,667,3958,136,115,5952
163,818,3960,144,113,5765
164,1135,3962,112,114,4541
165,10,3972,100,103,4316
166,542,3978,108,94,4493
167,398,3979,124,94,5387
168,126,3980,110,95,5307
169,253,3980,126,94,5388
170,427,4133,124,140,5281
171,10,4140,128,131,6030
172,568,4142,113,131,4718
173,149,4144,123,127,5362
174,285,4146,126,125,5478
175,377,4297,160,111,4182
176,11,4301,120,107,3987
177,146,4301,101,107,3539
178,265,4302,94,106,3397
179,557,4302,122,106,3923
180,698,4304,121,106,3999
181,954,4304,159,107,4286
182,1125,4314,179,99,4444
183,836,4315,101,95,3721
184,236,4474,79,121,4308
185,331,4477,87,119,3888
186,436,4486,151,111,4489
187,16,4488,102,108,3938
188,1019,4488,126,115,4400
189,604,4494,121,104,4005
190,862,4497,136,104,4438
191,131,4507,88,89,4100
192,742,4513,101,85,3398
193,495,4625,77,144,3790
194,113,4648,87,119,3563
195,214,4650,143,117,4642
196,389,4655,90,113,4034
197,13,4667,88,99,3805
198,17,4810,98,111,4346
199,129,4810,98,111,4372
200,243,4810,98,111,4372
201,357,4811,99,110,4304
202,471,4812,99,110,4278
203,706,4812,99,111,4203
204,588,4813,99,110,4481
205,824,4813,99,111,4482
206,1075,4813,99,114,4423
207,1214,4814,121,113,4641
208,942,4815,99,110,4381
209,778,4886,20,37,226
210,1018,4898,41,27,248
211,16,4948,73,114,4006
212,103,4948,74,113,4300
213,191,4948,74,114,4320
214,282,4949,74,114,4320
215,377,4950,74,114,4320
216,401,5134,102,142,4746
217,124,5156,108,118,4597
218,13,5157,101,117,4487
219,887,5168,93,110,4609
220,1000,5168,134,110,4812
221,271,5170,115,106,4814
222,614,5173,112,105,4169
223,743,5174,126,104,4909
224,521,5176,78,101,4154
225,13,5329,150,139,7892
226,175,5333,162,135,7869
227,8,5489,84,109,4230
228,103,5491,94,108,4325
229,210,5493,101,107,4598
230,463,5494,85,107,4186
231,902,5495,81,110,4297
232,326,5496,106,105,4665
233,563,5500,89,102,4128
234,1098,5501,84,107,4130
235,780,5502,100,102,3981
236,668,5503,95,100,3931
237,1002,5504,81,103,4047
238,8,5657,81,78,3449
239,104,5658,91,77,3617
240,209,5659,101,77,3921
241,9,5765,79,117,3954
242,814,5770,70,117,3817
243,101,5774,100,108,4204
244,215,5791,126,92,4246
245,674,5803,125,84,3509
246,356,5812,146,72,3833
247,517,5818,143,67,3614
248,9,5934,154,76,3457
249,174,5948,151,61,3088
250,337,5963,167,47,3242
251,515,5969,174,41,3395
252,580,6071,114,97,3069
253,490,6075,78,90,3294
254,264,6083,101,82,3466
255,709,6084,95,85,3201
256,819,6084,69,86,2916
257,11,6085,114,81,3381
258,135,6097,119,69,3471
259,377,6104,101,61,2616
260,11,6233,68,57,2280
261,175,6233,68,57,2280
262,90,6234,72,56,2332
263,257,6235,72,56,2332
264,19,6330,78,83,2446
265,107,6331,78,83,2446
266,520,6471,113,131,4739
267,653,6471,113,131,4715
268,17,6488,98,114,4326
269,130,6493,98,108,4612
270,246,6496,112,105,4091
271,375,6497,128,104,4732
272,788,6500,97,103,4290
273,198,6642,64,62,1198
274,17,6660,35,44,609
275,58,6664,39,39,577
276,106,6678,81,25,803
277,435,6678,85,30,1074
278,530,6679,91,30,668
279,367,6681,58,26,711
280,637,6681,79,28,883
281,192,6759,63,56,1028
282,127,6761,56,53,1322
283,74,6767,44,46,1061
284,15,6783,50,30,729
285,817,6825,134,227,24776
286,20,6873,67,39,436
287,386,6879,37,39,329
288,227,6883,29,62,619
289,312,6886,29,62,619
290,992,6887,307,165,36732
291,480,6897,37,39,329
292,508,6904,29,62,619
293,86,6921,43,28,227
294,167,6924,43,28,227
295,354,6927,43,28,227
296,2,7005,390,230,86016
297,761,7023,31,27,488
298,413,7103,30,33,401
299,543,7103,26,33,285
300,663,7103,29,33,367
301,687,7103,19,33,210
302,755,7103,19,33,210
303,777,7103,26,33,245
304,824,7103,25,33,322
305,845,7103,19,33,210
306,958,7103,25,33,322
307,1011,7103,25,33,278
308,1055,7103,28,33,331
309,1150,7103,38,33,486
310,1183,7103,19,33,210
311,439,7110,25,26,257
312,460,7110,25,26,257
313,491,7110,25,26,276
314,510,7110,27,33,283
315,579,7110,27,26,271
316,602,7110,36,26,434
317,714,7110,25,26,257
318,735,7110,25,26,257
319,800,7110,26,33,395
320,858,7110,25,26,257
321,903,7110,25,26,276
322,935,7110,26,33,341
323,980,7110,25,26,276
324,1089,7110,25,26,276
325,1108,7110,27,33,283
326,1129,7110,26,26,265
327,1206,7110,27,26,271
328,1230,7110,25,26,282
329,413,7147,31,33,417
330,516,7147,26,33,352
331,550,7147,26,33,342
332,603,7147,30,33,401
333,665,7147,25,33,307
334,696,7147,29,33,320
335,799,7147,25,33,238
336,820,7147,25,33,338
337,841,7147,25,33,344
338,873,7147,28,33,331
339,1142,7147,26,33,352
340,1174,7147,19,33,210
341,1206,7147,20,33,221
342,450,7154,26,33,341
343,473,7154,26,33,341
344,495,7154,25,26,257
345,570,7154,27,33,283
346,629,7154,25,26,276
347,720,7154,25,26,257
348,755,7154,27,26,271
349,777,7154,27,26,253
350,907,7154,25,26,257
351,928,7154,25,26,276
352,948,7154,26,26,265
353,970,7154,25,26,257
354,1001,7154,26,33,395
355,1033,7154,27,26,230
356,1055,7154,25,26,257
357,1086,7154,25,26,223
358,1121,7154,25,26,257
359,1230,7154,25,26,281
360,1251,7154,26,26,265
361,1273,7154,25,26,257
